fips,pm25_2000,pm25_2001,pm25_2002,pm25_2003,pm25_2004,pm25_2005,pm25_2006,pm25_2007,pm25_2008,pm25_2009,pm25_2010,pm25_2011,pm25_2012,pm25_2013,pm25_2014,pm25_2015,pm25_2016,pm25_2017,pm25_2018
35039,4.239713355,4.894885993,3.725889251,3.917172638,3.337504886,3.375003257,2.981908795,3.603198697,3.552605863,3.178403909,3.181680782,3.736807818,3.18086645,3.609713355,2.351745928,2.37904886,2.069166124,2.231934853,2.678586319
1001,16.46814276,13.08559154,12.79900859,13.90548579,13.0827495,13.93093192,13.39484468,13.83694646,11.16688698,10.48301388,11.30224719,10.35089227,9.536417713,8.591738268,8.948645076,8.579709187,8.486582948,9.35849306,9.093721084
1009,16.27221884,14.10200608,13.73610942,13.58030395,13.12601824,14.16395137,14.23100304,13.64091185,11.55781155,9.824072948,10.9731307,10.74382979,9.454650456,8.759817629,9.269300912,7.970881459,8.024863222,8.030638298,8.202917933
1013,15.34973877,12.45517241,11.49446186,12.76588297,12.44367816,12.93584117,11.95245559,12.90041797,10.24723093,9.807053292,10.23793103,9.41138976,9.09137931,8.117972832,8.554597701,8.132392894,7.758725183,8.251306165,8.285945664
1015,16.82529335,14.34706649,13.99393742,13.79661017,13.32366362,14.04204694,14.11290743,13.92861799,11.74504563,10.12268579,11.65573664,11.09934811,10.14445893,9.182724902,9.396219035,8.382790091,8.787418514,8.176531943,7.94863103
1017,16.05318151,13.22665774,12.90877428,13.24822505,13.25880777,13.49296718,13.26637642,13.95787006,11.00609511,9.773610181,10.75639652,9.888881447,9.340589417,8.548693905,9.130609511,8.03945077,8.060884126,8.194105827,7.887273945
1031,14.97252549,12.00605879,11.46790642,12.61403719,12.87606479,12.86280744,11.78458308,12.93347331,10.44433113,9.764847031,10.08044391,9.311757648,9.14385123,8.177984403,8.735332933,7.685062987,7.786862627,8.172345531,8.328674265
1033,14.0431632,11.8541903,11.68544423,12.10819156,11.76975425,13.0279143,12.26490233,12.59382483,10.57233774,8.780340265,9.983931947,9.481726528,9.114618778,8.370195337,8.59584121,7.525582861,7.312854442,7.175866415,7.453497164
1039,14.88189588,11.78162393,10.95901321,12.35213675,12.40415695,12.53162393,11.53947164,12.4049728,10.11480186,9.432517483,9.897785548,9.282789433,8.83006993,7.887257187,8.520823621,7.717793318,7.665967366,7.964957265,8.201748252
1043,15.77055118,13.75931759,13.36929134,13.21826772,12.80325459,14.03790026,14.01784777,13.56341207,11.59590551,9.72671916,10.80068241,10.55984252,9.336902887,8.555275591,9.127034121,7.984409449,7.960472441,7.941312336,7.933910761
1045,15.234938,12.08402626,11.49766594,12.36418673,13.0571116,12.90598104,12.34777535,13.10145879,10.66593727,9.799489424,10.11611962,9.284099198,8.871188913,8.236980306,8.936177972,7.77293946,7.889059081,7.999197666,8.311305616
1051,16.78638906,13.5387197,13.21243008,14.16333126,13.484711,14.02262275,13.43014295,14.26619018,11.47016781,10.58744562,11.369422,10.61330019,9.833499068,8.725046613,9.16463642,8.805655687,8.712430081,9.157240522,8.856805469
1055,16.65111431,14.37526959,13.94378145,13.77203451,13.46829619,14.26268871,14.07958303,13.79288282,11.76189792,10.1503954,11.5821711,11.26527678,10.27872035,9.130913012,9.449748382,8.155787203,8.739252336,8.552552121,8.39698059
